2.134432432432432358e-01,-4.524545389872934642e+00,2.079682628747752393e-01
2.441011583011583053e-01,-3.175545424025219443e+00,2.667454164958881213e-01
2.828285714285714292e-01,-1.800708860312259185e+00,3.491852934645014450e-01
3.304216216216215862e-01,-3.912405133879804930e-01,4.616391509164625151e-01
3.869791505791505548e-01,9.655442629625254902e-01,8.435210598510631819e-01
4.515814671814671333e-01,2.184281560951121914e+00,1.469734381917877641e+00
5.221330115830116192e-01,3.210945506963140517e+00,2.192670252473713610e+00
5.955133204633205057e-01,4.018844149701032542e+00,3.005712455821605289e+00
6.680691119691118951e-01,4.595797365715595717e+00,3.758972266991668754e+00
7.363054054054053443e-01,4.943136515359893401e+00,4.431072026447525403e+00
7.975162162162162671e-01,5.068603550276037595e+00,4.955301483741837210e+00
8.501314671814671486e-01,4.974368770217643565e+00,5.289901383366217402e+00
8.937177606177606481e-01,4.644455850947991848e+00,5.410784989389285649e+00
9.287274131274130262e-01,4.024516109561329991e+00,5.291100098557421916e+00
9.561550193050193380e-01,3.020369479438431259e+00,4.719800135704896427e+00
9.772237451737451064e-01,1.471018930158847882e+00,3.588414976097510589e+00
9.931635135135136183e-01,-1.005416193958414528e+00,2.289835761501628042e+00
