 iter          CT    h
49  0.1833738E-02   1.000000000000000000e+00
50  0.1841078E-02   1.000000000000000000e+00
51  0.1856610E-02   1.000000000000000000e+00
52  0.1867873E-02   1.000000000000000000e+00
53  0.1908665E-02   1.000000000000000000e+00
54  0.1878966E-02   1.000000000000000000e+00
55  0.1909109E-02   1.000000000000000000e+00
56  0.1929681E-02   1.000000000000000000e+00
57  0.1926789E-02   1.000000000000000000e+00
58  0.1927829E-02   1.000000000000000000e+00
59  0.1947283E-02   1.000000000000000000e+00
60  0.1922918E-02   1.000000000000000000e+00
61  0.1895197E-02   1.000000000000000000e+00
62  0.1865428E-02   1.000000000000000000e+00
63  0.1830466E-02   1.000000000000000000e+00
64  0.1795724E-02   1.000000000000000000e+00
65  0.1754555E-02   1.000000000000000000e+00
66  0.1745620E-02   1.000000000000000000e+00
67  0.1744169E-02   1.000000000000000000e+00
68  0.1725161E-02   1.000000000000000000e+00
69  0.1683466E-02   1.000000000000000000e+00
70  0.1696886E-02   1.000000000000000000e+00
71  0.1684054E-02   1.000000000000000000e+00
72  0.1630805E-02   1.000000000000000000e+00
73  0.1587748E-02   1.000000000000000000e+00
74  0.1553903E-02   1.000000000000000000e+00
75  0.1539898E-02   1.000000000000000000e+00
76  0.1532255E-02   1.000000000000000000e+00
77  0.1515326E-02   1.000000000000000000e+00
78  0.1504388E-02   1.000000000000000000e+00
79  0.1485988E-02   1.000000000000000000e+00
80  0.1457798E-02   1.000000000000000000e+00
81  0.1461741E-02   1.000000000000000000e+00
82  0.1465521E-02   1.000000000000000000e+00
83  0.1451592E-02   1.000000000000000000e+00
84  0.1454468E-02   1.000000000000000000e+00
85  0.1393434E-02   1.000000000000000000e+00
86  0.1391335E-02   1.000000000000000000e+00
87  0.1375880E-02   1.000000000000000000e+00
88  0.1370721E-02   1.000000000000000000e+00
89  0.1364290E-02   1.000000000000000000e+00
90  0.1350488E-02   1.000000000000000000e+00
91  0.1347236E-02   1.000000000000000000e+00
92  0.1340094E-02   1.000000000000000000e+00
93  0.1327061E-02   1.000000000000000000e+00
94  0.1335064E-02   1.000000000000000000e+00
95  0.1324200E-02   1.000000000000000000e+00
96  0.1309736E-02   1.000000000000000000e+00
97  0.1281230E-02   1.000000000000000000e+00
98  0.1270169E-02   1.000000000000000000e+00
99  0.1261284E-02   1.000000000000000000e+00
100  0.1240600E-02  1.000000000000000000e+00
101  0.1255076E-02  1.000000000000000000e+00
102  0.1242775E-02  1.000000000000000000e+00
103  0.1263111E-02  1.000000000000000000e+00
104  0.1234978E-02  1.000000000000000000e+00
105  0.1237848E-02  1.000000000000000000e+00
106  0.1241106E-02  1.000000000000000000e+00
107  0.1241071E-02  1.000000000000000000e+00
108  0.1240161E-02  1.000000000000000000e+00
109  0.1230015E-02  1.000000000000000000e+00
110  0.1211155E-02  1.000000000000000000e+00
111  0.1204065E-02  1.000000000000000000e+00
112  0.1203340E-02  1.000000000000000000e+00
113  0.1211569E-02  1.000000000000000000e+00
114  0.1209652E-02  1.000000000000000000e+00
115  0.1208920E-02  1.000000000000000000e+00
116  0.1195680E-02  1.000000000000000000e+00
117  0.1220166E-02  1.000000000000000000e+00
118  0.1218206E-02  1.000000000000000000e+00
119  0.1218130E-02  1.000000000000000000e+00
120  0.1204030E-02  1.000000000000000000e+00
121  0.1201712E-02  1.000000000000000000e+00
122  0.1178458E-02  1.000000000000000000e+00
123  0.1205094E-02  1.000000000000000000e+00
124  0.1184195E-02  1.000000000000000000e+00
125  0.1190252E-02  1.000000000000000000e+00
126  0.1183161E-02  1.000000000000000000e+00
127  0.1204448E-02  1.000000000000000000e+00
128  0.1191083E-02  1.000000000000000000e+00
129  0.1203292E-02  1.000000000000000000e+00
130  0.1205059E-02  1.000000000000000000e+00
131  0.1212729E-02  1.000000000000000000e+00
132  0.1200098E-02  1.000000000000000000e+00
133  0.1182232E-02  1.000000000000000000e+00
134  0.1183859E-02  1.000000000000000000e+00
135  0.1182828E-02  1.000000000000000000e+00
136  0.1180444E-02  1.000000000000000000e+00
137  0.1175638E-02  1.000000000000000000e+00
138  0.1168349E-02  1.000000000000000000e+00
139  0.1180729E-02  1.000000000000000000e+00
140  0.1180014E-02  1.000000000000000000e+00
141  0.1187629E-02  1.000000000000000000e+00
142  0.1199241E-02  1.000000000000000000e+00
143  0.1197920E-02  1.000000000000000000e+00
144  0.1193079E-02  1.000000000000000000e+00
145  0.1175960E-02  1.000000000000000000e+00
146  0.1181614E-02  1.000000000000000000e+00
147  0.1181192E-02  1.000000000000000000e+00
148  0.1183560E-02  1.000000000000000000e+00
149  0.1180512E-02  1.000000000000000000e+00
150  0.1188800E-02  1.000000000000000000e+00
151  0.1181446E-02  1.000000000000000000e+00
152  0.1174902E-02  1.000000000000000000e+00
153  0.1186880E-02  1.000000000000000000e+00
154  0.1191503E-02  1.000000000000000000e+00
155  0.1190359E-02  1.000000000000000000e+00
156  0.1183945E-02  1.000000000000000000e+00
157  0.1182111E-02  1.000000000000000000e+00
158  0.1176624E-02  1.000000000000000000e+00
159  0.1182950E-02  1.000000000000000000e+00
160  0.1179072E-02  1.000000000000000000e+00
161  0.1198148E-02  1.000000000000000000e+00
162  0.1203477E-02  1.000000000000000000e+00
163  0.1197361E-02  1.000000000000000000e+00
164  0.1195418E-02  1.000000000000000000e+00
165  0.1199190E-02  1.000000000000000000e+00
166  0.1195990E-02  1.000000000000000000e+00
167  0.1184369E-02  1.000000000000000000e+00
168  0.1175077E-02  1.000000000000000000e+00
169  0.1163280E-02  1.000000000000000000e+00
170  0.1165247E-02  1.000000000000000000e+00
171  0.1174382E-02  1.000000000000000000e+00
172  0.1170386E-02  1.000000000000000000e+00
173  0.1178285E-02  1.000000000000000000e+00
174  0.1166954E-02  1.000000000000000000e+00
175  0.1174475E-02  1.000000000000000000e+00
176  0.1155426E-02  1.000000000000000000e+00
177  0.1153056E-02  1.000000000000000000e+00
178  0.1164945E-02  1.000000000000000000e+00
179  0.1155453E-02  1.000000000000000000e+00
180  0.1154083E-02  1.000000000000000000e+00
181  0.1165098E-02  1.000000000000000000e+00
182  0.1166209E-02  1.000000000000000000e+00
183  0.1166794E-02  1.000000000000000000e+00
184  0.1168524E-02  1.000000000000000000e+00
185  0.1165353E-02  1.000000000000000000e+00
186  0.1159143E-02  1.000000000000000000e+00
187  0.1157409E-02  1.000000000000000000e+00
188  0.1149059E-02  1.000000000000000000e+00
189  0.1152603E-02  1.000000000000000000e+00
190  0.1162102E-02  1.000000000000000000e+00
191  0.1165762E-02  1.000000000000000000e+00
192  0.1168588E-02  1.000000000000000000e+00
193  0.1164022E-02  1.000000000000000000e+00
194  0.1173378E-02  1.000000000000000000e+00
195  0.1166160E-02  1.000000000000000000e+00
196  0.1164099E-02  1.000000000000000000e+00
197  0.1162884E-02  1.000000000000000000e+00
198  0.1150008E-02  1.000000000000000000e+00
199  0.1145980E-02  1.000000000000000000e+00
200  0.1152310E-02  1.000000000000000000e+00
201  0.1159885E-02  1.000000000000000000e+00
202  0.1170677E-02  1.000000000000000000e+00
203  0.1172431E-02  1.000000000000000000e+00
204  0.1176709E-02  1.000000000000000000e+00
205  0.1168989E-02  1.000000000000000000e+00
206  0.1172372E-02  1.000000000000000000e+00
207  0.1170735E-02  1.000000000000000000e+00
208  0.1177639E-02  1.000000000000000000e+00
209  0.1173579E-02  1.000000000000000000e+00
210  0.1158649E-02  1.000000000000000000e+00
211  0.1149589E-02  1.000000000000000000e+00
212  0.1151293E-02  1.000000000000000000e+00
213  0.1156739E-02  1.000000000000000000e+00
214  0.1159137E-02  1.000000000000000000e+00
215  0.1164367E-02  1.000000000000000000e+00
216  0.1161155E-02  1.000000000000000000e+00
217  0.1158453E-02  1.000000000000000000e+00
218  0.1166488E-02  1.000000000000000000e+00
219  0.1164750E-02  1.000000000000000000e+00
220  0.1161398E-02  1.000000000000000000e+00
221  0.1148586E-02  1.000000000000000000e+00
222  0.1144798E-02  1.000000000000000000e+00
223  0.1151380E-02  1.000000000000000000e+00
224  0.1152511E-02  1.000000000000000000e+00
225  0.1161928E-02  1.000000000000000000e+00
226  0.1165301E-02  1.000000000000000000e+00
227  0.1167547E-02  1.000000000000000000e+00
228  0.1161081E-02  1.000000000000000000e+00
229  0.1155910E-02  1.000000000000000000e+00
230  0.1147962E-02  1.000000000000000000e+00
231  0.1144483E-02  1.000000000000000000e+00
232  0.1141763E-02  1.000000000000000000e+00
233  0.1131232E-02  1.000000000000000000e+00
234  0.1135102E-02  1.000000000000000000e+00
235  0.1144144E-02  1.000000000000000000e+00
236  0.1147754E-02  1.000000000000000000e+00
237  0.1152282E-02  1.000000000000000000e+00
238  0.1155820E-02  1.000000000000000000e+00
239  0.1162690E-02  1.000000000000000000e+00
240  0.1160330E-02  1.000000000000000000e+00
241  0.1151642E-02  1.000000000000000000e+00
242  0.1150002E-02  1.000000000000000000e+00
243  0.1150969E-02  1.000000000000000000e+00
244  0.1145871E-02  1.000000000000000000e+00
245  0.1139267E-02  1.000000000000000000e+00
246  0.1139142E-02  1.000000000000000000e+00
247  0.1140460E-02  1.000000000000000000e+00
248  0.1136857E-02  1.000000000000000000e+00
249  0.1138021E-02  1.000000000000000000e+00
250  0.1141389E-02  1.000000000000000000e+00
251  0.1145025E-02  1.000000000000000000e+00
252  0.1137822E-02  1.000000000000000000e+00
253  0.1130214E-02  1.000000000000000000e+00
254  0.1128162E-02  1.000000000000000000e+00
255  0.1131294E-02  1.000000000000000000e+00
256  0.1129697E-02  1.000000000000000000e+00
257  0.1120384E-02  1.000000000000000000e+00
258  0.1118188E-02  1.000000000000000000e+00
259  0.1119785E-02  1.000000000000000000e+00
260  0.1123588E-02  1.000000000000000000e+00
261  0.1127720E-02  1.000000000000000000e+00
262  0.1136033E-02  1.000000000000000000e+00
263  0.1134328E-02  1.000000000000000000e+00
264  0.1131400E-02  1.000000000000000000e+00
265  0.1126806E-02  1.000000000000000000e+00
266  0.1128293E-02  1.000000000000000000e+00
267  0.1128839E-02  1.000000000000000000e+00
268  0.1123392E-02  1.000000000000000000e+00
269  0.1112757E-02  1.000000000000000000e+00
270  0.1106433E-02  1.000000000000000000e+00
271  0.1115109E-02  1.000000000000000000e+00
272  0.1118877E-02  1.000000000000000000e+00
273  0.1124325E-02  1.000000000000000000e+00
274  0.1131498E-02  1.000000000000000000e+00
275  0.1117292E-02  1.000000000000000000e+00
276  0.1115539E-02  1.000000000000000000e+00
277  0.1107505E-02  1.000000000000000000e+00
278  0.1106954E-02  1.000000000000000000e+00
279  0.1109599E-02  1.000000000000000000e+00
280  0.1111765E-02  1.000000000000000000e+00
281  0.1109041E-02  1.000000000000000000e+00
282  0.1110651E-02  1.000000000000000000e+00
283  0.1117986E-02  1.000000000000000000e+00
284  0.1122286E-02  1.000000000000000000e+00
285  0.1125674E-02  1.000000000000000000e+00
286  0.1127583E-02  1.000000000000000000e+00
287  0.1114325E-02  1.000000000000000000e+00
288  0.1108357E-02  1.000000000000000000e+00
289  0.1106374E-02  1.000000000000000000e+00
290  0.1110478E-02  1.000000000000000000e+00
291  0.1118429E-02  1.000000000000000000e+00
292  0.1127239E-02  1.000000000000000000e+00
293  0.1116928E-02  1.000000000000000000e+00
294  0.1117222E-02  1.000000000000000000e+00
295  0.1120842E-02  1.000000000000000000e+00
296  0.1120870E-02  1.000000000000000000e+00
297  0.1125879E-02  1.000000000000000000e+00
298  0.1138646E-02  1.000000000000000000e+00
299  0.1128546E-02  1.000000000000000000e+00
300  0.1121444E-02  1.000000000000000000e+00
301  0.1528884E-03  1.000000000000000000e+00
302  0.2355584E-04  1.008739031748218329e+00
303  0.1921384E-03  1.017475393669479367e+00
304  0.2909610E-03  1.026206416752474260e+00
305  0.3734267E-03  1.034929433616941230e+00
306  0.4056079E-03  1.043641779328566832e+00
307  0.4168215E-03  1.052340792213138920e+00
308  0.4174451E-03  1.061023814669705079e+00
309  0.4018281E-03  1.069688193982484492e+00
310  0.3846788E-03  1.078331283131289897e+00
311  0.3972846E-03  1.086950441600206929e+00
312  0.3800117E-03  1.095543036184289276e+00
313  0.3313483E-03  1.104106441794017623e+00
314  0.2625494E-03  1.112638042257279691e+00
315  0.1971425E-03  1.121135231118628450e+00
316  0.1429469E-03  1.129595412435568713e+00
317  0.1123795E-03  1.138016001571633184e+00
318  0.8221920E-04  1.146394425986005272e+00
319  0.5216093E-04  1.154728126019445078e+00
320  0.2437036E-04  1.163014555676281647e+00
321  0.1272554E-04  1.171251183402228557e+00
322  0.3237243E-04  1.179435492857790813e+00
323  0.5453900E-04  1.187564983687020348e+00
324  0.8242127E-04  1.195637172281390770e+00
325  0.1173595E-03  1.203649592538553526e+00
326  0.1565221E-03  1.211599796615749014e+00
327  0.1924096E-03  1.219485355677635718e+00
328  0.2226596E-03  1.227303860638314204e+00
329  0.2484520E-03  1.235052922897318384e+00
330  0.2729096E-03  1.242730175069346465e+00
331  0.2978378E-03  1.250333271707511740e+00
332  0.3218744E-03  1.257859890019891180e+00
333  0.3448852E-03  1.265307730579150913e+00
334  0.3667683E-03  1.272674518025037393e+00
335  0.3893847E-03  1.279958001759512243e+00
336  0.4146563E-03  1.287155956634323140e+00
337  0.4415034E-03  1.294266183630801814e+00
338  0.4689345E-03  1.301286510531675544e+00
339  0.4949349E-03  1.308214792584694308e+00
340  0.5197053E-03  1.315048913157863986e+00
341  0.5432741E-03  1.321786784386091318e+00
342  0.5675519E-03  1.328426347809039676e+00
343  0.5915114E-03  1.334965574999999349e+00
344  0.6153482E-03  1.341402468185585617e+00
345  0.6385305E-03  1.347735060856070977e+00
346  0.6601884E-03  1.353961418366163461e+00
347  0.6826159E-03  1.360079638526055401e+00
348  0.7058904E-03  1.366087852182551687e+00
349  0.7300185E-03  1.371984223790107871e+00
350  0.7538931E-03  1.377766951971601594e+00
351  0.7774194E-03  1.383434270068662375e+00
352  0.8003235E-03  1.388984446681397422e+00
353  0.8228438E-03  1.394415786197344964e+00
354  0.8458410E-03  1.399726629309493431e+00
355  0.8690452E-03  1.404915353523210175e+00
356  0.8918416E-03  1.409980373651923191e+00
357  0.9140836E-03  1.414920142301405281e+00
358  0.9354571E-03  1.419733150342512573e+00
359  0.9568317E-03  1.424417927372231496e+00
360  0.9789011E-03  1.428973042162897222e+00
361  0.1001743E-02  1.433397103099442127e+00
362  0.1024320E-02  1.437688758604541261e+00
363  0.1045968E-02  1.441846697551528944e+00
364  0.1066457E-02  1.445869649664955459e+00
365  0.1086995E-02  1.449756385908662848e+00
366  0.1107933E-02  1.453505718861264118e+00
367  0.1128960E-02  1.457116503078907499e+00
368  0.1150083E-02  1.460587635445216081e+00
369  0.1170885E-02  1.463918055508295790e+00
370  0.1191532E-02  1.467106745804712453e+00
371  0.1212021E-02  1.470152732170328935e+00
372  0.1233413E-02  1.473055084037922846e+00
373  0.1254702E-02  1.475812914721476465e+00
374  0.1275532E-02  1.478425381687066720e+00
375  0.1295656E-02  1.480891686810263730e+00
376  0.1314833E-02  1.483211076619963764e+00
377  0.1334202E-02  1.485382842528576885e+00
378  0.1353649E-02  1.487406321048507563e+00
379  0.1373296E-02  1.489280893994851640e+00
380  0.1392586E-02  1.491005988674257043e+00
381  0.1411749E-02  1.492581078059884936e+00
382  0.1430195E-02  1.494005680952419146e+00
383  0.1448812E-02  1.495279362127075240e+00
384  0.1467256E-02  1.496401732466565493e+00
385  0.1485319E-02  1.497372449079974910e+00
386  0.1502374E-02  1.498191215407518317e+00
387  0.1518870E-02  1.498857781311139226e+00
388  0.1535145E-02  1.499371943150930253e+00
389  0.1550917E-02  1.499733543847345141e+00
390  0.1567513E-02  1.499942472929188142e+00
391  0.1584585E-02  1.499998666567363692e+00
392  0.1601033E-02  1.499902107594375700e+00
393  0.1617083E-02  1.499652825509573573e+00
394  0.1633133E-02  1.499250896470139427e+00
395  0.1649460E-02  1.498696443267820699e+00
396  0.1666206E-02  1.497989635291418153e+00
397  0.1681644E-02  1.497130688475035942e+00
398  0.1698260E-02  1.496119865232111490e+00
399  0.1713939E-02  1.494957474375248729e+00
400  0.1730122E-02  1.493643871021870906e+00
401  0.1744589E-02  1.492179456485733358e+00
402  0.1758915E-02  1.490564678154317368e+00
403  0.1772694E-02  1.488800029352151943e+00
404  0.1785991E-02  1.486886049190099479e+00
405  0.1798216E-02  1.484823322400654177e+00
406  0.1810743E-02  1.482612479159303165e+00
407  0.1823495E-02  1.480254194892003383e+00
408  0.1835851E-02  1.477749190068835983e+00
409  0.1847534E-02  1.475098229983897058e+00
410  0.1858608E-02  1.472302124521496669e+00
411  0.1870274E-02  1.469361727908734094e+00
412  0.1881712E-02  1.466277938454525476e+00
413  0.1892037E-02  1.463051698275166679e+00
414  0.1903883E-02  1.459683993006509306e+00
415  0.1914469E-02  1.456175851502843566e+00
416  0.1925694E-02  1.452528345522578368e+00
417  0.1938073E-02  1.448742589400810354e+00
418  0.1950763E-02  1.444819739708890438e+00
419  0.1964264E-02  1.440760994901081116e+00
420  0.1976681E-02  1.436567594948424231e+00
421  0.1988697E-02  1.432240820959922223e+00
422  0.2000711E-02  1.427781994791147646e+00
423  0.2010937E-02  1.423192478640415315e+00
424  0.2019550E-02  1.418473674632615644e+00
425  0.2026816E-02  1.413627024390860409e+00
426  0.2035719E-02  1.408654008596058604e+00
427  0.2041881E-02  1.403556146534557847e+00
428  0.2051018E-02  1.398334995633993882e+00
429  0.2061059E-02  1.392992150987487854e+00
430  0.2068834E-02  1.387529244866333444e+00
431  0.2078622E-02  1.381947946221331325e+00
432  0.2083895E-02  1.376249960172911901e+00
433  0.2082465E-02  1.370437027490212456e+00
434  0.2083210E-02  1.364510924059260333e+00
435  0.2086229E-02  1.358473460340430039e+00
436  0.2088389E-02  1.352326480815336796e+00
437  0.2097354E-02  1.346071863423333959e+00
438  0.2099325E-02  1.339711518987795724e+00
439  0.2104901E-02  1.333247390632344320e+00
440  0.2100873E-02  1.326681453187216864e+00
441  0.2097936E-02  1.320015712585941969e+00
442  0.2104260E-02  1.313252205252514626e+00
443  0.2109442E-02  1.306392997479257190e+00
444  0.2116065E-02  1.299440184795553899e+00
445  0.2119259E-02  1.292395891327653867e+00
446  0.2121295E-02  1.285262269149739067e+00
447  0.2117389E-02  1.278041497626450473e+00
448  0.2111929E-02  1.270735782747081100e+00
449  0.2109791E-02  1.263347356451631542e+00
450  0.2093085E-02  1.255878475948939421e+00
451  0.2088310E-02  1.248331423027088771e+00
452  0.2071332E-02  1.240708503356309000e+00
453  0.2049644E-02  1.233012045784580124e+00
454  0.2032056E-02  1.225244401626153667e+00
455  0.2006227E-02  1.217407943943214166e+00
456  0.1993373E-02  1.209505066820892871e+00
457  0.1990508E-02  1.201538184635861262e+00
458  0.1958523E-02  1.193509731318723288e+00
459  0.1937317E-02  1.185422159610435511e+00
460  0.1904923E-02  1.177277940312980054e+00
461  0.1880167E-02  1.169079561534519529e+00
462  0.1883793E-02  1.160829527929265526e+00
463  0.1867179E-02  1.152530359932289583e+00
464  0.1835100E-02  1.144184592989518023e+00
465  0.1830416E-02  1.135794776783135340e+00
466  0.1828376E-02  1.127363474452643066e+00
467  0.1815012E-02  1.118893261811803486e+00
468  0.1761802E-02  1.110386726561713333e+00
469  0.1736271E-02  1.101846467500246174e+00
470  0.1735207E-02  1.093275093728103053e+00
471  0.1701883E-02  1.084675223851718107e+00
472  0.1695579E-02  1.076049485183256049e+00
473  0.1675058E-02  1.067400512937954460e+00
474  0.1712831E-02  1.058730949429048440e+00
475  0.1687601E-02  1.050043443260529452e+00
476  0.1661149E-02  1.041340648517978362e+00
477  0.1637753E-02  1.032625223957728711e+00
478  0.1634285E-02  1.023899832194599124e+00
479  0.1661556E-02  1.015167138888449117e+00
480  0.1589374E-02  1.006429811929803630e+00
481  0.1570100E-02  9.976905206247964619e-01
482  0.1559279E-02  9.889519348796809162e-01
483  0.1503479E-02  9.802167243851571676e-01
484  0.1504344E-02  9.714875578007671209e-01
485  0.1484643E-02  9.627671019396008001e-01
486  0.1501226E-02  9.540580209535690637e-01
487  0.1471318E-02  9.453629755194912221e-01
488  0.1470715E-02  9.366846220262395883e-01
489  0.1469755E-02  9.280256117631984214e-01
490  0.1458908E-02  9.193885901102781810e-01
491  0.1454110E-02  9.107761957297356714e-01
492  0.1406734E-02  9.021910597600483195e-01
493  0.1372314E-02  8.936358050120835061e-01
494  0.1347387E-02  8.851130451678154154e-01
495  0.1364133E-02  8.766253839818298754e-01
496  0.1301364E-02  8.681754144858586653e-01
497  0.1319209E-02  8.597657181965959738e-01
498  0.1308388E-02  8.513988643270288259e-01
499  0.1254937E-02  8.430774090015251687e-01
500  0.1253224E-02  8.348038944749244239e-01
501  0.1231474E-02  8.265808483558619857e-01
502  0.1195802E-02  8.184107828345700275e-01
503  0.1227723E-02  8.102961939153893178e-01
504  0.1249725E-02  8.022395606542224167e-01
505  0.1127898E-02  7.942433444011697263e-01
506  0.1135948E-02  7.863099880485695525e-01
507  0.1106342E-02  7.784419152846818735e-01
508  0.1096303E-02  7.706415298532368618e-01
509  0.1079040E-02  7.629112148190744236e-01
510  0.1035789E-02  7.552533318401069007e-01
511  0.9937740E-03  7.476702204458147705e-01
512  0.9568263E-03  7.401641973225088211e-01
513  0.9188240E-03  7.327375556055680805e-01
514  0.9486545E-03  7.253925641788716572e-01
515  0.9735197E-03  7.181314669816434293e-01
516  0.8812183E-03  7.109564823229123087e-01
517  0.7768012E-03  7.038698022038071267e-01
518  0.7536118E-03  6.968735916478877579e-01
519  0.7467838E-03  6.899699880397152096e-01
520  0.7203650E-03  6.831611004718696201e-01
521  0.9024899E-03  6.764490091006084560e-01
522  0.6403671E-03  6.698357645103669711e-01
523  0.6735064E-03  6.633233870872922155e-01
524  0.7319043E-03  6.569138664020026663e-01
525  0.6507926E-03  6.506091606017626594e-01
526  0.6531510E-03  6.444111958122555883e-01
527  0.5603909E-03  6.383218655491422755e-01
528  0.6292531E-03  6.323430301395801534e-01
529  0.4546315E-03  6.264765161538811133e-01
530  0.4451727E-03  6.207241158474847698e-01
531  0.3573230E-03  6.150875866134121184e-01
532  0.4275382E-03  6.095686504453722288e-01
533  0.4924163E-03  6.041689934116825089e-01
534  0.3458294E-03  5.988902651401653010e-01
535  0.3741037E-03  5.937340783141755729e-01
536  0.3288950E-03  5.887020081799162474e-01
537  0.2638792E-03  5.837955920651931585e-01
538  0.3239428E-03  5.790163289097491894e-01
539  0.3388641E-03  5.743656788073311370e-01
540  0.3775693E-03  5.698450625596220842e-01
541  0.1483094E-03  5.654558612421763941e-01
542  0.5219659E-04  5.611994157824944374e-01
543  0.4942046E-04  5.570770265503610652e-01
544  0.7789350E-04  5.530899529605736165e-01
545  0.1845962E-04  5.492394130881839143e-01
546  0.4316787E-04  5.455265832963691608e-01
547  0.8747122E-05  5.419525978770451946e-01
548  0.8054133E-04  5.385185487043341324e-01
549  0.6480535E-04  5.352254849009896454e-01
550  0.8334357E-04  5.320744125178844541e-01
551  0.1521720E-03  5.290662942266546320e-01
552  0.1022113E-03  5.262020490255980842e-01
553  0.2667195E-03  5.234825519589159093e-01
554  0.2602277E-03  5.209086338493795765e-01
555  0.3470057E-03  5.184810810445104057e-01
556  0.4450348E-03  5.162006351763456236e-01
557  0.4533142E-03  5.140679929348651589e-01
558  0.3790280E-03  5.120838058551486771e-01
559  0.4269485E-03  5.102486801183276910e-01
560  0.3983393E-03  5.085631763663938099e-01
561  0.2880029E-03  5.070278095309184163e-01
562  0.4760105E-03  5.056430486757389486e-01
563  0.5483979E-03  5.044093168536567529e-01
564  0.5021778E-03  5.033269909771914685e-01
565  0.5523459E-03  5.023964017034324714e-01
566  0.5414034E-03  5.016178333330207906e-01
567  0.6520653E-03  5.009915237232940299e-01
568  0.4819905E-03  5.005176642156189404e-01
569  0.5140890E-03  5.001963995769359572e-01
570  0.3983276E-03  5.000278279555315786e-01
571  0.5205021E-03  5.000120008510539060e-01
572  0.5327963E-03  5.001489230987787860e-01
573  0.5244547E-03  5.004385528681329909e-01
574  0.5883949E-03  5.008808016754735526e-01
575  0.5702641E-03  5.014755344111196944e-01
576  0.6216810E-03  5.022225693806305902e-01
577  0.6104128E-03  5.031216783603128517e-01
578  0.6249629E-03  5.041725866669453104e-01
579  0.5343508E-03  5.053749732416961127e-01
580  0.4765809E-03  5.067284707482072603e-01
581  0.4281089E-03  5.082326656848197288e-01
582  0.3543056E-03  5.098870985108995280e-01
583  0.4118068E-03  5.116912637872300662e-01
584  0.4209557E-03  5.136446103304277422e-01
585  0.4132635E-03  5.157465413813310251e-01
586  0.4200623E-03  5.179964147873143965e-01
587  0.3998850E-03  5.203935431984697546e-01
588  0.3731772E-03  5.229371942775957738e-01
589  0.3314701E-03  5.256265909239318246e-01
590  0.3201761E-03  5.284609115105657340e-01
591  0.2855550E-03  5.314392901354478838e-01
592  0.2770252E-03  5.345608168859277143e-01
593  0.2655201E-03  5.378245381167378047e-01
594  0.2507406E-03  5.412294567413388213e-01
595  0.2618254E-03  5.447745325365352942e-01
596  0.2916363E-03  5.484586824602699640e-01
597  0.2929384E-03  5.522807809824996639e-01
598  0.3173709E-03  5.562396604290515967e-01
599  0.3167635E-03  5.603341113383547567e-01
600  0.2614399E-03  5.645628828309374736e-01
601  0.2435057E-03  5.689246829915802772e-01
602  0.2176751E-03  5.734181792640008490e-01
603  0.1800907E-03  5.780419988579605928e-01
604  0.1484457E-03  5.827947291686592646e-01
605  0.1139048E-03  5.876749182082945389e-01
606  0.1294645E-03  5.926810750496523950e-01
607  0.1628198E-03  5.978116702815956529e-01
